date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price
2019-06-15,AK-47 | Cartel (Factory New),9.756,9.756,29.0,9.867,9.346,8.552,-0.0112496199452721,0.0438690348812327,9.440714285714284,0.3080443911821404,8.787133333333335,0.5688862061568691,0.0355025893968173,188.0,26.857142857142858,878.0,29.266666666666666,5,6,0.0,8.286285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.04386903488123273,0.12955887460923932,9.325857142857144,0.3019457050385186,2.3754637384066184
2019-06-15,AK-47 | Uncharted (Field-Tested),0.846,0.846,2206.0,0.847,0.878,0.867,-0.0011806375442738,-0.0364464692482916,0.8544285714285714,0.010279760181432,0.8666666666666668,0.0128668393770792,0.0128232497243681,14419.0,2059.8571428571427,60851.0,2028.3666666666663,5,6,0.0,0.8595714285714287,AK-47 | Uncharted (Field-Tested),AK-47 | Uncharted (Field-Tested),0,0,1,0,0,0,,,0.8645714285714285,0.014020393310154576,0.6130211360806603
2019-06-15,AUG | Colony (Battle-Scarred),2.421,2.421,3.0,2.383,2.672,2.092,0.0159462861938732,-0.0939371257485031,2.459285714285714,0.3511587814592116,2.443233333333333,0.2703314858136622,0.1717342648984147,17.0,2.4285714285714284,68.0,2.2666666666666666,5,6,0.0,2.251571428571429,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,,,2.4835000000000003,0.310251448890189,1.2299329059954676
2019-06-15,AUG | Condemned (Factory New),0.86,0.86,10.0,0.823,0.881,0.729,0.0449574726609964,-0.0238365493757094,0.8157142857142857,0.0387730181798568,0.7545000000000001,0.0656362450683055,0.062964993749586,87.0,12.428571428571429,378.0,12.6,5,6,0.0,0.7384285714285713,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0,1,0,0,0,,,0.8069285714285714,0.04437682050127292,0.6205764877251099
2019-06-15,AUG | Contractor (Factory New),0.16,0.16,39.0,0.144,0.144,0.151,0.1111111111111111,0.1111111111111111,0.1587142857142857,0.0107797997028077,0.1484666666666667,0.0127638378066926,0.0804034635411281,246.0,35.142857142857146,1160.0,38.66666666666666,5,6,0.0,0.1424285714285714,AUG | Contractor (Factory New),AUG | Contractor (Factory New),0,0,1,0,0,0,,,0.1567857142857143,0.010511375313868832,0.1484200051182733
2019-06-15,AUG | Fleet Flock (Battle-Scarred),2.116,2.116,13.0,2.227,1.936,1.714,-0.049842837898518,0.0929752066115703,2.1448571428571426,0.0776924864383911,2.009133333333333,0.125645462402039,0.0729793162036339,116.0,16.571428571428573,465.0,15.5,5,6,0.0,1.9808571428571429,AUG | Fleet Flock (Battle-Scarred),AUG | Fleet Flock (Battle-Scarred),0,0,1,0,0,0,,,2.0731428571428574,0.1287513149404738,1.136550128008502
2019-06-15,AWP | Asiimov (Battle-Scarred),29.969,29.969,87.0,28.762,29.976,26.607,0.0419650928308183,-0.0002335201494527,29.97842857142857,1.711746715003867,28.958,1.5407138605205053,0.0775911988129982,656.0,93.71428571428572,3088.0,102.93333333333334,5,6,0.0,28.307285714285715,AWP | Asiimov (Battle-Scarred),AWP | Asiimov (Battle-Scarred),0,0,1,0,0,0,,,29.733928571428574,1.3480457915234008,3.432986704151563
2019-06-15,AWP | Electric Hive (Field-Tested),7.621,7.621,33.0,7.479,7.363,7.149,0.0189864955207916,0.0350400651908189,7.559142857142858,0.0893683046585927,7.458433333333333,0.255763000104046,0.0294436367084972,282.0,40.285714285714285,1188.0,39.6,5,6,0.0,7.292857142857144,AWP | Electric Hive (Field-Tested),AWP | Electric Hive (Field-Tested),0,0,1,0,0,0,,,7.565928571428572,0.16860398037354352,2.154201087227788
2019-06-15,AWP | PAW (Field-Tested),1.857,1.857,578.0,1.847,1.867,1.735,0.0054141851651325,-0.0053561863952865,1.838285714285714,0.0277422539290019,1.8257666666666668,0.0422592659135905,0.0170989995163791,4388.0,626.8571428571429,17926.0,597.5333333333333,5,6,0.0,1.7791428571428571,AWP | PAW (Field-Tested),AWP | PAW (Field-Tested),0,0,1,0,0,0,,,1.855357142857143,0.029893676055846103,1.0497721232486361
2019-06-15,AWP | PAW (Minimal Wear),2.836,2.836,492.0,2.778,2.844,2.671,0.0208783297336212,-0.0028129395218002,2.802142857142857,0.0475797933443797,2.7861,0.0626462821456043,0.018648438699704,3472.0,496.0,14720.0,490.6666666666667,5,6,0.0,2.7135714285714285,AWP | PAW (Minimal Wear),AWP | PAW (Minimal Wear),0,0,1,0,0,0,,,2.824214285714286,0.05463751679714449,1.3444301570211918
