date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,cat_index_used,rel_to_cat,spread_to_cat,vol_weighted_return,cat_mom_7,mom_vs_cat_7
2020-06-15,AK-47 | Baroque Purple (Battle-Scarred),1.121,1.121,159.0,1.119,1.107,1.064,0.0017873100983021,0.0126467931345979,1.1197142857142857,0.0087458444942936,1.0984,0.0299539646791539,0.0175567767861215,1101.0,157.28571428571428,5287.0,176.23333333333332,0,6,0.0,1.091714285714286,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,0.012646793134597933,0.01724137931034475,1.1197857142857142,0.014235268074147937,0.7518876755825454,,,,0.012646793134597932,,
2020-06-16,AK-47 | Baroque Purple (Battle-Scarred),1.082,1.082,153.0,1.121,1.122,1.08,-0.0347903657448706,-0.035650623885918,1.114,0.0156934927369821,1.0984666666666665,0.0299151392367736,0.0185630679652304,1095.0,156.42857142857142,5244.0,174.8,1,6,0.0,1.0844285714285715,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.035650623885918,-0.004599816007359592,1.1194285714285714,0.015154152950539661,0.7333289701927772,,,,-0.017482517482517477,,
2020-06-17,AK-47 | Baroque Purple (Battle-Scarred),1.092,1.092,159.0,1.082,1.13,1.073,0.0092421441774492,-0.0336283185840706,1.1085714285714283,0.015792015549069,1.0991,0.0295683952895655,0.0185879922672968,1093.0,156.14285714285714,5194.0,173.13333333333333,2,6,0.0,1.0771428571428572,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.03362831858407067,-0.021505376344086002,1.1177142857142857,0.016835989708079185,0.7381205462026765,,,,-0.011352234936023858,,
2020-06-18,AK-47 | Baroque Purple (Battle-Scarred),1.075,1.075,162.0,1.092,1.129,1.096,-0.0155677655677657,-0.0478299379982285,1.100857142857143,0.017066496597792,1.0984,0.0298804283771166,0.0184018322725337,1089.0,155.57142857142858,5164.0,172.13333333333333,3,6,0.0,1.0742857142857145,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.047829937998228544,-0.047829937998228544,1.1138571428571429,0.01994938650630697,0.7299611536826616,,,,-0.012240837212816784,,
2020-06-19,AK-47 | Baroque Purple (Battle-Scarred),1.044,1.044,168.0,1.075,1.115,1.088,-0.0288372093023254,-0.0636771300448429,1.0907142857142855,0.0249325621038276,1.096933333333333,0.0313963196710838,0.0190623806172682,1100.0,157.14285714285714,5115.0,170.5,4,6,0.0,1.0702857142857145,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.06367713004484299,-0.08098591549295764,1.1072857142857144,0.026251530567623336,0.714908672341458,,,,-0.013355502930753587,,
2020-06-20,AK-47 | Baroque Purple (Battle-Scarred),1.062,1.062,120.0,1.044,1.102,1.08,0.0172413793103447,-0.0362976406533576,1.085,0.0262406445913858,1.0963333333333332,0.0318824228829756,0.0193070937757779,1076.0,153.71428571428572,5035.0,167.83333333333334,5,6,0.0,1.0634285714285716,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.03629764065335761,-0.07005253940455325,1.1015714285714286,0.02681479007997222,0.7236763855947682,,,,-0.004729334287082425,,
2020-06-21,AK-47 | Baroque Purple (Battle-Scarred),1.05,1.05,146.0,1.062,1.119,1.11,-0.0112994350282485,-0.0616621983914208,1.0751428571428572,0.0245207117784628,1.094333333333333,0.0328302028964522,0.018671702287109,1067.0,152.42857142857142,4969.0,165.63333333333333,6,6,0.0,1.0584285714285715,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.06166219839142084,-0.06417112299465244,1.0964285714285715,0.02937742274320502,0.7178397931503169,,,,-0.00843737672459929,,
2020-06-22,AK-47 | Baroque Purple (Battle-Scarred),1.051,1.051,127.0,1.05,1.121,1.115,0.0009523809523808,-0.0624442462087422,1.0651428571428574,0.016855932159913,1.0921999999999998,0.0334906952251915,0.0186433809961149,1035.0,147.85714285714286,4913.0,163.76666666666668,0,6,0.0,1.0511428571428572,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.06244424620874223,-0.05058717253839207,1.0924285714285715,0.03155877126816029,0.7183274790902435,,,,-0.00766224083914035,-0.06244424620874223,0.0
2020-06-23,AK-47 | Baroque Purple (Battle-Scarred),1.067,1.067,140.0,1.051,1.082,1.114,0.0152235965746907,-0.0138632162661738,1.063,0.0154734796160583,1.0906333333333331,0.0335335487070618,0.0188921364851047,1022.0,146.0,4875.0,162.5,1,6,0.0,1.0585714285714285,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.013863216266173817,-0.049019607843137414,1.0885,0.031013024559170457,0.7260982806996312,,,,-0.0018990707213936736,-0.03815373123745802,0.024290514971284205
2020-06-24,AK-47 | Baroque Purple (Battle-Scarred),1.042,1.042,146.0,1.067,1.092,1.074,-0.0234301780693532,-0.0457875457875458,1.0558571428571428,0.0114571072318647,1.0895666666666666,0.0345395264716945,0.0182512342461295,1009.0,144.14285714285714,4850.0,161.66666666666666,2,6,0.0,1.0597142857142858,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.04578754578754585,-0.0778761061946901,1.0822142857142858,0.030872388887230883,0.7139297197424739,,,,-0.006625353503450638,-0.0406983360874873,-0.00508920970005855
2020-06-25,AK-47 | Baroque Purple (Battle-Scarred),0.998,0.998,187.0,1.042,1.075,1.026,-0.0422264875239923,-0.0716279069767441,1.044857142857143,0.0208835449332624,1.0886333333333331,0.0365636279503127,0.0180580580777265,1034.0,147.71428571428572,4857.0,161.9,3,6,0.0,1.0595714285714286,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.07162790697674415,-0.11603188662533215,1.0728571428571427,0.03515647908960807,0.6921466802263617,,,,-0.012953983176645218,-0.04843072880980151,-0.02319717816694264
2020-06-26,AK-47 | Baroque Purple (Battle-Scarred),0.969,0.969,246.0,0.998,1.044,1.041,-0.0290581162324649,-0.0718390804597701,1.0341428571428573,0.0338122064663406,1.0862333333333332,0.0416242584184858,0.0185145208356406,1112.0,158.85714285714286,4900.0,163.33333333333334,4,6,0.0,1.0618571428571428,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.07183908045977017,-0.13094170403587446,1.0624285714285715,0.04256707699567916,0.6775257996569886,,,,-0.015892458447035483,-0.05311239913979524,-0.018726681319974924
2020-06-27,AK-47 | Baroque Purple (Battle-Scarred),0.992,0.992,206.0,0.969,1.062,1.032,0.0237358101135192,-0.0659133709981167,1.0241428571428572,0.0344401284692666,1.0849,0.0439176122605346,0.0190444215212524,1198.0,171.14285714285714,4897.0,163.23333333333332,5,6,0.0,1.0618571428571428,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.06591337099811678,-0.09981851179673329,1.0545714285714287,0.044794770102897785,0.6891391591624065,,,,-0.011334018719208729,-0.0552458944495155,-0.010667476548601285
2020-06-28,AK-47 | Baroque Purple (Battle-Scarred),1.011,1.011,165.0,0.992,1.05,1.052,0.0191532258064515,-0.0371428571428572,1.018571428571429,0.0329278741791689,1.0835333333333332,0.0455285502612249,0.0190363261876693,1217.0,173.85714285714286,4861.0,162.03333333333333,6,6,0.0,1.0632857142857142,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.037142857142857255,-0.09651474530831106,1.046857142857143,0.04206196371080209,0.6986321107905149,,,,-0.005035802324216472,-0.052659746262850034,0.015516889119992779
2020-06-29,AK-47 | Baroque Purple (Battle-Scarred),0.989,0.989,182.0,1.011,1.051,1.09,-0.0217606330365973,-0.0589914367269266,1.0097142857142858,0.0313127736861231,1.0801666666666667,0.0485592993725769,0.0180705108970118,1272.0,181.7142857142857,4854.0,161.8,0,6,0.0,1.0634285714285714,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.05899143672692664,-0.11775200713648526,1.0374285714285716,0.038834390559270245,0.6876319998718352,,,,-0.008440598651179755,-0.05216648776544781,-0.006824948961478831
2020-06-30,AK-47 | Baroque Purple (Battle-Scarred),0.973,0.973,182.0,0.989,1.067,1.102,-0.0161779575328614,-0.0880974695407684,0.9962857142857142,0.0228892631455654,1.0758666666666667,0.0520235416795981,0.0180232932121526,1314.0,187.7142857142857,4861.0,162.03333333333333,1,6,0.0,1.050142857142857,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),0,0,1,0,0,0,-0.08809746954076847,-0.10073937153419599,1.029642857142857,0.04011638288560211,0.6795552270404783,,,,-0.01220223702923886,-0.0627713810903899,-0.025326088450378564
2020-06-15,AK-47 | Cartel (Factory New),11.267,11.267,31.0,11.532,11.653,11.863,-0.0229795352063822,-0.0331245172916846,11.114714285714284,0.427639271979054,11.939,1.830789702104896,0.2014490935911439,207.0,29.571428571428573,968.0,32.266666666666666,0,6,0.0,12.070285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,,,11.374571428571429,0.43911514422769504,2.506912730050615,,,,,1.3456068232845237,
2020-06-16,AK-47 | Cartel (Factory New),11.291,11.291,33.0,11.267,11.056,12.053,0.002130114493654,0.0212554269175109,11.148285714285716,0.4309238296251151,11.9136,1.8343144150699284,0.201465897347371,199.0,28.428571428571427,972.0,32.4,1,6,0.0,12.068428571428573,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,,,11.366071428571429,0.4395281498442324,2.5088672872328437,,,,,2.8292147034967754,
