date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,cat_index_used,rel_to_cat,spread_to_cat,vol_weighted_return,cat_mom_7,mom_vs_cat_7
2014-11-15,AUG | Colony (Battle-Scarred),0.03,0.03,59.0,0.033,0.03,0.033,-0.0909090909090909,0.0,0.0317142857142857,0.0020503857277724,0.0324666666666666,0.0071913528320862,0.2742876057466756,290.0,41.42857142857143,1413.0,47.1,5,11,0.0,0.0304285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,-0.0625,0.03142857142857143,0.0019889806323953895,0.0295588022415444,,,,0.0,,
2014-11-16,AUG | Colony (Battle-Scarred),0.03,0.03,54.0,0.03,0.035,0.03,0.0,-0.142857142857143,0.031,0.0016035674514745,0.0324666666666666,0.0071913528320862,0.2735048078170991,306.0,43.71428571428572,1430.0,47.66666666666666,6,11,0.0,0.0308571428571428,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,-0.14285714285714302,0.0,0.03142857142857143,0.0019889806323953895,0.0295588022415444,,,,-0.0682680151706701,,
2014-11-17,AUG | Colony (Battle-Scarred),0.03,0.03,36.0,0.03,0.03,0.03,0.0,0.0,0.031,0.0016035674514745,0.0324666666666666,0.0071913528320862,0.2735048078170992,309.0,44.142857142857146,1417.0,47.23333333333333,0,11,0.0,0.0308571428571428,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,-0.032258064516129115,0.03135714285714286,0.002023216892329293,0.0295588022415444,,,,0.0,,
2014-11-18,AUG | Colony (Battle-Scarred),0.03,0.03,58.0,0.03,0.034,0.03,0.0,-0.1176470588235295,0.0304285714285714,0.0010497813183356,0.0324666666666666,0.0071913528320862,0.2735048078170991,315.0,45.0,1417.0,47.23333333333333,1,11,0.0,0.0308571428571428,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,-0.11764705882352955,-0.0625,0.031214285714285715,0.00204482729865353,0.0295588022415444,,,,-0.032963910201761905,,
2014-11-19,AUG | Colony (Battle-Scarred),0.03,0.03,34.0,0.03,0.03,0.033,0.0,0.0,0.0304285714285714,0.0010497813183356,0.0323666666666666,0.0072040883454389,0.2732017532988902,318.0,45.42857142857143,1409.0,46.96666666666667,2,11,0.0,0.0305714285714285,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.03121428571428572,0.00204482729865353,0.0295588022415444,,,,0.0,,
2014-11-20,AUG | Colony (Battle-Scarred),0.034,0.034,53.0,0.03,0.03,0.03,0.1333333333333335,0.1333333333333335,0.031,0.0016035674514745,0.0325,0.007196063738832,0.2730373725822495,354.0,50.57142857142857,1436.0,47.86666666666667,3,11,0.0,0.0305714285714285,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.13333333333333353,-0.02857142857142858,0.031142857142857142,0.0019158104473902633,0.03343477608623739,,,,0.024036281179138357,,
2014-11-21,AUG | Colony (Battle-Scarred),0.03,0.03,38.0,0.034,0.033,0.03,-0.1176470588235295,-0.0909090909090909,0.0305714285714285,0.0013997084244475,0.0325,0.007196063738832,0.2742957887101801,332.0,47.42857142857143,1442.0,48.06666666666667,4,11,0.0,0.0312857142857142,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,-0.09090909090909094,0.0,0.031142857142857146,0.0019158104473902633,0.0295588022415444,,,,-0.010405257393209204,,
2014-11-22,AUG | Colony (Battle-Scarred),0.03,0.03,44.0,0.03,0.03,0.03,0.0,0.0,0.0305714285714285,0.0013997084244475,0.0325,0.007196063738832,0.2742957887101801,317.0,45.285714285714285,1451.0,48.36666666666667,5,11,0.0,0.0321428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.031142857142857142,0.0019158104473902633,0.0295588022415444,,,,0.0,0.0,0.0
2014-11-23,AUG | Colony (Battle-Scarred),0.03,0.03,34.0,0.03,0.03,0.07,0.0,0.0,0.0305714285714285,0.0013997084244475,0.0311666666666666,0.0018272626764887,0.12808846281334,297.0,42.42857142857143,1446.0,48.2,6,11,0.0,0.0317142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,-0.14285714285714302,0.030785714285714288,0.001577659972557776,0.0295588022415444,,,,0.0,0.0,0.0
2014-11-24,AUG | Colony (Battle-Scarred),0.03,0.03,32.0,0.03,0.03,0.034,0.0,0.0,0.0305714285714285,0.0013997084244475,0.0310333333333333,0.0017603661235347,0.0888446505169756,293.0,41.85714285714285,1427.0,47.56666666666667,0,11,0.0,0.0317142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0,1,0,0,0,0.0,0.0,0.030785714285714284,0.001577659972557776,0.0295588022415444,,,,0.0,0.0,0.0
