date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,cat_index_used,rel_to_cat,spread_to_cat,vol_weighted_return,cat_mom_7,mom_vs_cat_7
2017-03-15,AK-47 | Cartel (Factory New),5.711,5.711,92.0,5.736,5.787,5.886,-0.0043584379358436,-0.0131328840504578,5.793285714285714,0.1097760242958547,5.742933333333334,0.1632927704734319,0.0300946082355235,608.0,86.85714285714286,2674.0,89.13333333333334,2,3,0.0,5.579571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.013132884050457871,0.006698395910452959,5.7987142857142855,0.10700210535055173,1.9037479711761023,,,,-0.013132884050457871,,
2017-03-16,AK-47 | Cartel (Factory New),5.865,5.865,150.0,5.711,5.734,6.089,0.02696550516547,0.0228461806766655,5.812,0.1092389255583506,5.7354666666666665,0.152030859440517,0.0298318133305693,682.0,97.42857142857144,2740.0,91.33333333333331,3,3,0.0,5.666428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.02284618067666555,0.006003430531732468,5.801214285714286,0.10819155275672916,1.9264360392199344,,,,0.014160855791321623,,
2017-03-17,AK-47 | Cartel (Factory New),6.129,6.129,105.0,5.865,5.777,5.892,0.0450127877237851,0.0609312792106628,5.862285714285714,0.153574285687708,5.743366666666666,0.1655188777417515,0.0303323378287999,706.0,100.85714285714286,2769.0,92.3,4,3,0.0,5.756714285714287,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.06093127921066288,0.033209710047201524,5.815285714285714,0.13579873601509218,1.9641709721354914,,,,0.018437418781324502,,
2017-03-18,AK-47 | Cartel (Factory New),6.113,6.113,107.0,6.129,5.798,5.556,-0.0026105400554737,0.0543290789927561,5.907285714285714,0.1730587961901258,5.761933333333333,0.1744587694047571,0.0283218577725516,712.0,101.71428571428572,2795.0,93.16666666666669,5,3,0.0,5.785714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.054329078992756186,0.062391379909628286,5.840928571428571,0.15576336306951408,1.9619240957513782,,,,0.012804430511508615,,
2017-03-19,AK-47 | Cartel (Factory New),5.941,5.941,99.0,6.113,6.054,5.616,-0.0281367577294291,-0.0186653452262967,5.8911428571428575,0.1636341115078991,5.772766666666667,0.1751497803468664,0.028849181466438,726.0,103.71428571428572,2801.0,93.36666666666666,6,3,0.0,5.813142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.018665345226296703,0.006266937669376693,5.843571428571429,0.1572228767292882,1.9374458563574466,,,,-0.0033415355830079085,,
2017-03-20,AK-47 | Cartel (Factory New),5.72,5.72,100.0,5.941,5.743,5.653,-0.037199124726477,-0.0040048755006095,5.887857142857143,0.1667765216187977,5.775,0.1740319893965858,0.0296905371475225,746.0,106.57142857142856,2810.0,93.66666666666669,0,3,0.0,5.831,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.004004875500609573,0.017974728599394973,5.850785714285714,0.14818293194116958,1.9050881545350582,,,,-0.0006133040582863051,,
2017-03-21,AK-47 | Cartel (Factory New),6.05,6.05,105.0,5.72,5.736,5.605,0.0576923076923077,0.0547419804741979,5.932714285714285,0.1620605832800228,5.789833333333334,0.1778330834112583,0.0313290829470009,758.0,108.28571428571428,2814.0,93.8,1,3,0.0,5.858285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.05474198047419798,0.042564190935722834,5.868428571428572,0.15652510945567127,1.9530276168241774,,,,0.007582992018193652,,
2017-03-22,AK-47 | Cartel (Factory New),5.957,5.957,97.0,6.05,5.711,5.254,-0.0153719008264462,0.043074767991595,5.967857142857143,0.1345005879662439,5.813266666666667,0.1497878351387573,0.029096414371178,763.0,109.0,2799.0,93.3,2,3,0.0,5.831,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.04307476799159504,0.029376188007603332,5.880571428571429,0.15631610689473197,1.9397483469415042,,,,0.005476084528420339,0.04307476799159504,0.0
2017-03-23,AK-47 | Cartel (Factory New),5.786,5.786,88.0,5.957,5.865,5.481,-0.0287057243578983,-0.0134697357203752,5.956571428571428,0.1455205995656945,5.823433333333333,0.1366666707317072,0.0287791530975226,701.0,100.14285714285714,2794.0,93.13333333333334,3,3,0.0,5.764571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.013469735720375242,0.009068712940355717,5.884285714285714,0.15315122168398368,1.9148616663620384,,,,-0.0016909226011312716,0.0148025161356099,-0.028272251855985142
2017-03-24,AK-47 | Cartel (Factory New),5.642,5.642,104.0,5.786,6.129,5.639,-0.0248876598686483,-0.079458312938489,5.8870000000000005,0.1619417884832166,5.823533333333333,0.1365327148423491,0.0287390765399248,700.0,100.0,2813.0,93.76666666666668,4,3,0.0,5.718142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.07945831293848904,-0.02336853037908948,5.874642857142858,0.16427210407072823,1.8934131229545548,,,,-0.011805235065146944,-0.01661776022242308,-0.06284055271606596
2017-03-25,AK-47 | Cartel (Factory New),5.739,5.739,109.0,5.642,6.113,5.657,0.0171924849344202,-0.061181089481433,5.833571428571429,0.1385752576790543,5.826266666666667,0.1339681388324187,0.0288933879105243,702.0,100.28571428571428,2838.0,94.6,5,3,0.0,5.701142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,-0.06118108948143308,-0.010175922731976539,5.870428571428571,0.16712165733874335,1.9079115459640799,,,,-0.009499627853954709,-0.02775859253717558,-0.0334224969442575
