date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir,steam_valid,missing_raw,price_was_filled,days_since_last_trade,mom_7,mom_14,roll_mean_14,roll_std_14,log_price,cat_index_used,rel_to_cat,spread_to_cat,vol_weighted_return,cat_mom_7,mom_vs_cat_7
2018-09-15,AK-47 | Cartel (Factory New),7.363,7.363,53.0,7.22,6.802,6.79,0.0198060941828255,0.0824757424286974,6.957,0.2887322041516771,6.8424666666666685,0.2730490472831249,0.0517384637308114,282.0,40.285714285714285,1079.0,35.96666666666667,5,9,0.0,6.720999999999999,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.08247574242869748,0.08550788736547243,6.92,0.32127079399927244,2.1238172143993888,,,,0.08247574242869748,,
2018-09-16,AK-47 | Cartel (Factory New),7.444,7.444,34.0,7.363,6.871,6.565,0.011000950699443,0.0833939746761751,7.038857142857142,0.3308933486234883,6.871766666666668,0.2884310065779259,0.0512865046534957,279.0,39.85714285714285,1071.0,35.7,6,9,0.0,6.749,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.08339397467617515,0.12873388931008334,6.980642857142857,0.3350383691328628,2.133456129986074,,,,0.03259074872402248,,
2018-09-17,AK-47 | Cartel (Factory New),7.908,7.908,37.0,7.444,6.685,6.898,0.062332079527136,0.1829468960359013,7.213571428571429,0.4110877060200371,6.905433333333333,0.343261871203637,0.0516686824959508,275.0,39.285714285714285,1073.0,35.766666666666666,0,9,0.0,6.696285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.1829468960359013,0.03210649960845746,6.998214285714285,0.37730627807197575,2.1869497493951213,,,,0.0545889931720028,,
2018-09-18,AK-47 | Cartel (Factory New),7.558,7.558,22.0,7.908,6.5,6.636,-0.0442589782498735,0.1627692307692307,7.364714285714285,0.3005921367119595,6.936166666666666,0.3586908681425956,0.0518582341560252,261.0,37.285714285714285,1053.0,35.1,1,9,0.0,6.642428571428572,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.16276923076923078,0.1159013730990699,7.054285714285713,0.3989701027108951,2.146866517994625,,,,0.02452687038988409,,
2018-09-19,AK-47 | Cartel (Factory New),7.225,7.225,34.0,7.558,6.874,6.668,-0.0440592749404604,0.0510619726505674,7.414857142857143,0.2371283128069989,6.9547333333333325,0.3587452144473692,0.0526215677349389,255.0,36.42857142857143,1056.0,35.2,2,9,0.0,6.605999999999999,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.051061972650567444,0.06203145671027488,7.084428571428572,0.3944403463303241,2.1071782966514356,,,,0.009645039278440517,,
2018-09-20,AK-47 | Cartel (Factory New),7.667,7.667,35.0,7.225,7.186,6.787,0.0611764705882353,0.0669357083217367,7.483571428571429,0.23045226164644,6.984066666666665,0.3792237627341175,0.0535668571855193,253.0,36.142857142857146,1066.0,35.53333333333333,3,9,0.0,6.569428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.06693570832173679,0.13249630723781403,7.1485,0.4119030412422494,2.1595227101522076,,,,0.010896510657026919,,
2018-09-21,AK-47 | Cartel (Factory New),7.695,7.695,33.0,7.667,7.22,6.899,0.0036520151297769,0.0657894736842106,7.551428571428572,0.2120504368189372,7.0105999999999975,0.3996410556153276,0.0535284069106717,248.0,35.42857142857143,1067.0,35.56666666666667,4,9,0.0,6.493857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.06578947368421062,0.13562573789846533,7.214142857142856,0.4210987198604746,2.1627481478062465,,,,0.008754244482173188,,
2018-09-22,AK-47 | Cartel (Factory New),7.997,7.997,43.0,7.695,7.363,6.594,0.0392462638076671,0.0861062067092217,7.642,0.2450550958458119,7.057366666666665,0.4291543998246889,0.0530623629893531,238.0,34.0,1078.0,35.93333333333333,5,9,0.0,6.4391428571428575,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.08610620670922176,0.17568362246398128,7.2995,0.45117074202738006,2.1968911884349818,,,,0.01555700373317872,0.08610620670922176,0.0
2018-09-23,AK-47 | Cartel (Factory New),7.673,7.673,40.0,7.997,7.444,7.17,-0.040515193197449,0.0307630306286943,7.674714285714287,0.2313406358509426,7.074133333333331,0.4428351637146967,0.0516200731029227,244.0,34.857142857142854,1078.0,35.93333333333333,6,9,0.0,6.3731428571428586,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.030763030628694343,0.11672245670208126,7.3567857142857145,0.4434274164126207,2.160214751702319,,,,0.005043119775195794,0.05843461866895805,-0.027671588040263706
2018-09-24,AK-47 | Cartel (Factory New),8.111,8.111,40.0,7.673,7.908,7.091,0.0570832790303663,0.0256702073849266,7.703714285714286,0.268505235003882,7.10813333333333,0.4803893374707182,0.0524196021211932,247.0,35.285714285714285,1091.0,36.36666666666667,0,9,0.0,6.353714285714285,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.025670207384926647,0.21331338818249823,7.458642857142857,0.44101781006123375,2.2094824747317214,,,,0.004157118604846421,0.04751314824094758,-0.021842940856020933
2018-09-25,AK-47 | Cartel (Factory New),7.593,7.593,28.0,8.111,7.558,6.623,-0.0638638885464185,0.0046308547234719,7.708714285714286,0.2660599901664041,7.140466666666664,0.4792909856119651,0.0523233637913896,253.0,36.142857142857146,1084.0,36.13333333333333,1,9,0.0,6.303571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.004630854723471911,0.1681538461538461,7.536714285714287,0.3444260395256056,2.150947918331086,,,,0.0005125056610957055,0.036792574861578664,-0.03216172013810675
2018-09-26,AK-47 | Cartel (Factory New),7.741,7.741,21.0,7.593,7.225,6.736,0.0194916370341102,0.0714186851211071,7.782428571428572,0.1791016129327206,7.173966666666664,0.484938998454674,0.0523424303791259,240.0,34.285714285714285,1067.0,35.56666666666667,2,9,0.0,6.262,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0,1,0,0,0,0.07141868512110716,0.12612743671806803,7.598642857142857,0.2896989437709,2.168024599598351,,,,0.006249134948096877,0.04371779691348436,0.0277008882076228
