date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2016-05-01,AK-47 | Cartel (Factory New),4.792,4.792,220.0,4.807,4.491,4.271,-0.003120449344705789,0.0670229347584057,4.768571428571429,0.14621301206787035,4.630366666666666,0.15101754497040704,0.02963307125356558,1360.0,194.28571428571428,5496.0,183.2,6,5,0.0,4.725714285714285,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-02,AK-47 | Cartel (Factory New),4.706,4.706,208.0,4.792,4.617,4.503,-0.017946577629382232,0.019276586528048645,4.7812857142857155,0.1359923467234349,4.637133333333334,0.14970119868888462,0.0283782448539298,1407.0,201.0,5454.0,181.8,0,5,0.0,4.746714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-03,AK-47 | Cartel (Factory New),4.692,4.692,159.0,4.706,4.68,4.305,-0.002974925626859415,0.002564102564102555,4.7829999999999995,0.1347749446829258,4.650033333333334,0.13662832388962734,0.027095884803938777,1405.0,200.71428571428572,5366.0,178.86666666666667,1,5,0.0,4.794142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-04,AK-47 | Cartel (Factory New),4.831,4.831,152.0,4.692,4.628,4.411,0.029624893435635125,0.04386343993085573,4.811999999999999,0.11924883946724893,4.664033333333333,0.13288478300977719,0.027241961051856636,1414.0,202.0,5301.0,176.7,2,5,0.0,4.811999999999999,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-05,AK-47 | Cartel (Factory New),4.651,4.651,166.0,4.831,4.776,4.45,-0.03725936659076812,-0.026172529313232884,4.794142857142857,0.1319820643349787,4.670733333333333,0.1268547550897833,0.028176236960960454,1350.0,192.85714285714286,5283.0,176.1,3,5,0.0,4.7829999999999995,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-06,AK-47 | Cartel (Factory New),4.748,4.748,177.0,4.651,5.08,4.65,0.020855729950548296,-0.06535433070866137,4.746714285714285,0.06164811267117899,4.674,0.12753875228076114,0.027265812077704326,1312.0,187.42857142857142,5280.0,176.0,4,5,0.0,4.781285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-07,AK-47 | Cartel (Factory New),4.66,4.66,186.0,4.748,4.807,4.677,-0.018534119629317614,-0.03058040357811531,4.725714285714285,0.06256588364211262,4.673433333333333,0.1275619283154483,0.027474044286113154,1268.0,181.14285714285714,5324.0,177.46666666666667,5,5,0.0,4.768571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-08,AK-47 | Cartel (Factory New),4.582,4.582,151.0,4.66,4.792,4.642,-0.016738197424892798,-0.04382303839732893,4.695714285714286,0.07305714844404712,4.671433333333334,0.12850594884630404,0.027610820662263214,1199.0,171.28571428571428,5271.0,175.7,6,5,0.0,4.7255714285714285,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-09,AK-47 | Cartel (Factory New),4.581,4.581,152.0,4.582,4.706,4.847,-0.00021824530772573958,-0.02656183595410111,4.677857142857143,0.08296544645888712,4.662566666666667,0.12522105343041257,0.02636290368410869,1143.0,163.28571428571428,5208.0,173.6,0,5,0.0,4.696285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-10,AK-47 | Cartel (Factory New),4.698,4.698,155.0,4.581,4.692,4.744,0.025540275049115824,0.0012787723785165905,4.678714285714286,0.0831379478177502,4.661033333333334,0.12449403823298354,0.026533805297524585,1139.0,162.71428571428572,5160.0,172.0,1,5,0.0,4.618857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-11,AK-47 | Cartel (Factory New),4.643,4.643,155.0,4.698,4.831,4.659,-0.01170710940825892,-0.03891533843924666,4.651857142857144,0.05531579100667263,4.6605,0.12453587167291741,0.02641697101008646,1142.0,163.14285714285714,5154.0,171.8,2,5,0.0,4.579285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-12,AK-47 | Cartel (Factory New),4.425,4.425,153.0,4.643,4.651,4.708,-0.04695240146457036,-0.04859170070952479,4.619571428571429,0.09679559780848541,4.651066666666667,0.13112460570854823,0.027656455339039314,1129.0,161.28571428571428,5155.0,171.83333333333334,3,5,0.0,4.567571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-13,AK-47 | Cartel (Factory New),4.473,4.473,162.0,4.425,4.748,4.615,0.010847457627118695,-0.05791912384161757,4.580285714285715,0.09240549502169287,4.6463333333333345,0.13485111131252217,0.027535169738867778,1114.0,159.14285714285714,5172.0,172.4,4,5,0.0,4.539571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-14,AK-47 | Cartel (Factory New),4.524,4.524,181.0,4.473,4.66,4.743,0.011401743796110031,-0.029184549356223166,4.560857142857143,0.08778452283278422,4.639033333333334,0.13534732686273826,0.02712673180625601,1109.0,158.42857142857142,5208.0,173.6,5,5,0.0,4.525142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-15,AK-47 | Cartel (Factory New),4.314,4.314,190.0,4.524,4.582,4.584,-0.04641909814323608,-0.05848974247053684,4.522571428571429,0.12199163571193515,4.630033333333333,0.14716826726196414,0.027730889205431437,1148.0,164.0,5224.0,174.13333333333333,6,5,0.0,4.5332857142857135,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-16,AK-47 | Cartel (Factory New),4.299,4.299,146.0,4.314,4.581,4.769,-0.003477051460361591,-0.06155861165684351,4.482285714285714,0.1411095970065358,4.614366666666667,0.15627571432851906,0.026611974853972584,1142.0,163.14285714285714,5171.0,172.36666666666667,0,5,0.0,4.557142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-05-17,AK-47 | Cartel (Factory New),4.209,4.209,154.0,4.299,4.698,4.548,-0.02093510118632258,-0.10408684546615599,4.412428571428571,0.13803504435246777,4.603066666666667,0.17211913186963143,0.0256076651856973,1141.0,163.0,5143.0,171.43333333333334,1,5,0.0,4.563714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
