date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2013-10-01,AWP | Snake Camo (Battle-Scarred),4.853,4.853,11.0,5.173,4.065,6.398,-0.06185965590566411,0.1938499384993848,4.498285714285714,0.3829053274582614,5.2905,0.9123488641961471,0.07875059745318203,138.0,19.714285714285715,491.0,16.366666666666667,1,10,0.0,4.4667142857142865,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-02,AWP | Snake Camo (Battle-Scarred),4.711,4.711,12.0,4.853,4.152,6.187,-0.029260251390892167,0.1346339113680155,4.578142857142857,0.359962072832057,5.241300000000001,0.9024208607961143,0.07871085413622415,133.0,19.0,486.0,16.2,2,10,0.0,4.615285714285714,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-03,AWP | Snake Camo (Battle-Scarred),4.501,4.501,12.0,4.711,4.148,6.103,-0.04457652303120352,0.0851012536162008,4.628571428571428,0.31850896248563165,5.187900000000001,0.8972341333230698,0.07900888149485197,118.0,16.857142857142858,484.0,16.133333333333333,3,10,0.0,4.662285714285715,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-04,AWP | Snake Camo (Battle-Scarred),4.533,4.533,12.0,4.501,4.055,6.488,0.007109531215285569,0.1178791615289767,4.696857142857143,0.22603566632056002,5.122733333333334,0.87105502824002,0.07798972888190372,110.0,15.714285714285714,488.0,16.266666666666666,4,10,0.0,4.696857142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-05,AWP | Snake Camo (Battle-Scarred),4.316,4.316,16.0,4.533,4.558,6.22,-0.04787116699757343,-0.05309346204475651,4.662285714285715,0.26050758929757234,5.059266666666668,0.8580615725122656,0.07809000526576136,103.0,14.714285714285714,493.0,16.433333333333334,5,10,0.0,4.628571428571428,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-06,AWP | Snake Camo (Battle-Scarred),4.22,4.22,21.0,4.316,4.549,6.614,-0.022242817423540284,-0.07232358760167079,4.615285714285714,0.3029307861946188,4.979466666666666,0.8202483661807698,0.07695245227172288,103.0,14.714285714285714,503.0,16.766666666666666,6,10,0.0,4.578142857142857,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-07,AWP | Snake Camo (Battle-Scarred),4.133,4.133,20.0,4.22,5.173,6.419,-0.020616113744075792,-0.20104388169340803,4.466714285714286,0.24184098334337342,4.903266666666666,0.7885488331246342,0.07690092610840468,104.0,14.857142857142858,511.0,17.033333333333335,0,10,0.0,4.498285714285714,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-08,AWP | Snake Camo (Battle-Scarred),4.105,4.105,24.0,4.133,4.853,6.27,-0.006774739898378845,-0.15413146507315045,4.359857142857143,0.21081503644625726,4.831099999999998,0.7586678390442023,0.07687401235619035,117.0,16.714285714285715,517.0,17.233333333333334,1,10,0.0,4.385714285714286,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-09,AWP | Snake Camo (Battle-Scarred),4.139,4.139,22.0,4.105,4.711,6.226,0.008282582216808665,-0.12141795797070687,4.278142857142857,0.1646801476207991,4.761533333333333,0.7223890333854436,0.07694907844246764,127.0,18.142857142857142,527.0,17.566666666666666,2,10,0.0,4.203428571428572,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-10-10,AWP | Snake Camo (Battle-Scarred),4.718,4.718,18.0,4.139,4.501,5.841,0.139888862043972,0.04821150855365475,4.309142857142857,0.21610806064918311,4.724099999999999,0.6940217743942428,0.08087697712716735,133.0,19.0,533.0,17.766666666666666,3,10,0.0,4.086571428571429,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
