date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2016-07-01,AK-47 | Cartel (Factory New),3.194,3.194,218.0,3.192,3.215,4.133,0.0006265664160400863,-0.006531881804043516,3.2394285714285713,0.07303395911268586,3.7516000000000007,0.4034609109525563,0.044000785040253565,1493.0,213.28571428571428,5748.0,191.6,4,7,0.0,3.5092857142857135,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-02,AK-47 | Cartel (Factory New),3.292,3.292,195.0,3.194,3.263,4.113,0.030682529743268683,0.008887526815813729,3.2435714285714283,0.07504828377757336,3.7242333333333337,0.4058561061372477,0.04453346298427542,1441.0,205.85714285714286,5786.0,192.86666666666667,5,7,0.0,3.4114285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-03,AK-47 | Cartel (Factory New),3.339,3.339,158.0,3.292,3.133,4.042,0.01427703523693813,0.06575167571018192,3.273,0.06573105376130389,3.7008000000000005,0.4071253205914201,0.04463680605323204,1358.0,194.0,5789.0,192.96666666666667,6,7,0.0,3.3194285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-04,AK-47 | Cartel (Factory New),3.293,3.293,175.0,3.339,3.258,3.798,-0.01377657981431557,0.010742786985880937,3.2779999999999996,0.0657310537613039,3.6839666666666675,0.41315384409307976,0.0434914475203295,1313.0,187.57142857142858,5763.0,192.1,0,7,0.0,3.2779999999999996,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-05,AK-47 | Cartel (Factory New),3.673,3.673,183.0,3.293,3.383,3.858,0.11539629517157612,0.08572273130357666,3.319428571428571,0.15270406219955282,3.6778000000000004,0.4118889332494057,0.04838647949418558,1326.0,189.42857142857142,5780.0,192.66666666666666,1,7,0.0,3.2729999999999997,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-06,AK-47 | Cartel (Factory New),3.897,3.897,164.0,3.673,3.253,3.66,0.060985570378437215,0.1979711035966798,3.411428571428572,0.24875625312620328,3.6856999999999998,0.4137404298993915,0.048651650001693046,1292.0,184.57142857142858,5770.0,192.33333333333334,2,7,0.0,3.2435714285714283,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-07,AK-47 | Cartel (Factory New),3.877,3.877,180.0,3.897,3.192,3.642,-0.005132152938157608,0.21459899749373412,3.5092857142857135,0.27638829533089554,3.6935333333333333,0.4150614198190699,0.0486528659143655,1273.0,181.85714285714286,5778.0,192.6,3,7,0.0,3.239428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-08,AK-47 | Cartel (Factory New),4.207,4.207,168.0,3.877,3.194,3.643,0.08511735878256377,0.31715716969317476,3.654,0.33285303492253576,3.712333333333333,0.4250008104567435,0.05081497862281401,1223.0,174.71428571428572,5762.0,192.06666666666666,4,7,0.0,3.2424285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-09,AK-47 | Cartel (Factory New),4.224,4.224,170.0,4.207,3.292,3.674,0.00404088424055149,0.2831105710814097,3.7871428571428574,0.3475022830640021,3.730666666666666,0.4347037560863209,0.05081421105294573,1198.0,171.14285714285714,5760.0,192.0,5,7,0.0,3.2925714285714283,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-10,AK-47 | Cartel (Factory New),3.96,3.96,185.0,4.224,3.339,3.782,-0.0625,0.18598382749326148,3.875857142857143,0.29743207079044764,3.7366,0.43657466715328314,0.052062358914819376,1225.0,175.0,5772.0,192.4,6,7,0.0,3.3702857142857146,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-07-11,AK-47 | Cartel (Factory New),4.117,4.117,148.0,3.96,3.293,3.826,0.03964646464646471,0.2502277558457333,3.9935714285714288,0.18543066254599025,3.7463,0.4416564388752868,0.05246074811009483,1198.0,171.14285714285714,5753.0,191.76666666666668,0,7,0.0,3.4837142857142855,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
