date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2017-03-01,AK-47 | Cartel (Factory New),5.673,5.673,89.0,5.681,5.639,5.561,-0.0014082027812004627,0.006029437843589225,5.760142857142857,0.09771595654377686,5.716833333333335,0.15142348636265854,0.026177944739266254,630.0,90.0,2876.0,95.86666666666666,2,3,0.0,5.787857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-02,AK-47 | Cartel (Factory New),5.83,5.83,81.0,5.673,5.657,5.803,0.02767495152476651,0.030581580342937897,5.784857142857143,0.09008318151484616,5.717733333333336,0.1520120463062788,0.025465245100597087,627.0,89.57142857142857,2852.0,95.06666666666666,3,3,0.0,5.770428571428572,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-03,AK-47 | Cartel (Factory New),5.932,5.932,98.0,5.83,5.759,5.761,0.017495711835334493,0.03003993748914735,5.809571428571429,0.1024776730287518,5.723433333333334,0.15666241483592117,0.025601944364406964,635.0,90.71428571428571,2849.0,94.96666666666667,4,3,0.0,5.811571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-04,AK-47 | Cartel (Factory New),5.754,5.754,100.0,5.932,5.903,5.728,-0.03000674308833462,-0.02524140267660513,5.788285714285714,0.09613935463796346,5.7243,0.15675716889507807,0.026188562472863545,634.0,90.57142857142857,2840.0,94.66666666666667,5,3,0.0,5.788285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-05,AK-47 | Cartel (Factory New),5.904,5.904,98.0,5.754,5.741,5.821,0.026068821689259725,0.0283922661557221,5.811571428571428,0.10145915032008442,5.727066666666667,0.15915358061389084,0.02644376200615776,647.0,92.42857142857143,2834.0,94.46666666666667,6,3,0.0,5.809571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-06,AK-47 | Cartel (Factory New),5.619,5.619,79.0,5.904,5.907,5.684,-0.0482723577235773,-0.04875571356018282,5.770428571428572,0.11224063071665935,5.724900000000001,0.16016436349367286,0.027552949061941535,635.0,90.71428571428571,2800.0,93.33333333333333,0,3,0.0,5.784857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-07,AK-47 | Cartel (Factory New),5.803,5.803,83.0,5.619,5.681,5.689,0.03274604022067984,0.021475092413307584,5.787857142857143,0.10631681572602933,5.7287,0.1606192495728123,0.028173589590630668,628.0,89.71428571428571,2779.0,92.63333333333334,1,3,0.0,5.760142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-08,AK-47 | Cartel (Factory New),5.787,5.787,81.0,5.803,5.673,5.561,-0.0027571945545407095,0.0200951877313591,5.804142857142857,0.09567419202903255,5.736233333333333,0.15785324056083103,0.027844157798530014,620.0,88.57142857142857,2765.0,92.16666666666667,2,3,0.0,5.755285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-09,AK-47 | Cartel (Factory New),5.734,5.734,76.0,5.787,5.83,5.624,-0.009158458614135112,-0.016466552315608896,5.7904285714285715,0.09784077026746388,5.7399,0.15647520570365142,0.02785139510060681,615.0,87.85714285714286,2749.0,91.63333333333334,3,3,0.0,5.726714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-10,AK-47 | Cartel (Factory New),5.777,5.777,81.0,5.734,5.932,5.701,0.007499128008371159,-0.026129467296021613,5.768285714285715,0.07902569977222476,5.742433333333333,0.15644012344095826,0.027779716060866974,598.0,85.42857142857143,2735.0,91.16666666666667,4,3,0.0,5.6334285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-03-11,AK-47 | Cartel (Factory New),5.798,5.798,101.0,5.777,5.754,5.747,0.003635104725636218,0.00764685436218282,5.774571428571429,0.07938847909013565,5.744133333333333,0.15675729293684842,0.027752606151686968,599.0,85.57142857142857,2742.0,91.4,5,3,0.0,5.614,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
