date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2014-12-01,AUG | Colony (Battle-Scarred),0.03,0.03,60.0,0.03,0.03,0.032,0.0,0.0,0.030857142857142857,0.0020995626366712952,0.03100000000000002,0.001843908891458578,0.09228350696248681,382.0,54.57142857142857,1488.0,49.6,0,12,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-02,AUG | Colony (Battle-Scarred),0.03,0.03,41.0,0.03,0.03,0.03,0.0,0.0,0.030857142857142857,0.0020995626366712952,0.03100000000000002,0.001843908891458578,0.09150456234498043,393.0,56.142857142857146,1472.0,49.06666666666667,1,12,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-03,AUG | Colony (Battle-Scarred),0.03,0.03,51.0,0.03,0.03,0.031,0.0,0.0,0.030857142857142857,0.002099562636671295,0.030966666666666687,0.0018526257642120351,0.09134569548313672,413.0,59.0,1458.0,48.6,2,12,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-04,AUG | Colony (Battle-Scarred),0.03,0.03,32.0,0.03,0.03,0.032,0.0,0.0,0.030857142857142857,0.002099562636671295,0.03090000000000002,0.001850225211517057,0.09118513888287141,405.0,57.857142857142854,1443.0,48.1,3,12,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-05,AUG | Colony (Battle-Scarred),0.03,0.03,53.0,0.03,0.03,0.03,0.0,0.0,0.030857142857142857,0.002099562636671295,0.03090000000000002,0.001850225211517057,0.09039910500968489,394.0,56.285714285714285,1414.0,47.13333333333333,4,12,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-06,AUG | Colony (Battle-Scarred),0.03,0.03,49.0,0.03,0.036,0.035,0.0,-0.16666666666666663,0.03,0.0,0.030733333333333352,0.001691810338726604,0.08520667164241189,375.0,53.57142857142857,1401.0,46.7,5,12,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-07,AUG | Colony (Battle-Scarred),0.03,0.03,55.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030733333333333352,0.001691810338726604,0.0810653710820425,341.0,48.714285714285715,1401.0,46.7,6,12,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-08,AUG | Colony (Battle-Scarred),0.03,0.03,47.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.030733333333333352,0.001691810338726604,0.0810653710820425,328.0,46.857142857142854,1383.0,46.1,0,12,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-09,AUG | Colony (Battle-Scarred),0.072,0.072,29.0,0.03,0.03,0.035,1.4,1.4,0.036,0.014696938456699067,0.031966666666666685,0.007582802179200567,0.26271917466092576,316.0,45.142857142857146,1374.0,45.8,1,12,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-10,AUG | Colony (Battle-Scarred),0.03,0.03,54.0,0.072,0.03,0.03,-0.5833333333333333,0.0,0.036,0.014696938456699067,0.031966666666666685,0.007582802179200567,0.2842021813083666,319.0,45.57142857142857,1395.0,46.5,2,12,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-12-11,AUG | Colony (Battle-Scarred),0.03,0.03,64.0,0.03,0.03,0.034,0.0,0.0,0.036,0.014696938456699069,0.03183333333333335,0.007581043610362772,0.2835883904641491,351.0,50.142857142857146,1407.0,46.9,3,12,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
