date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2014-07-01,AUG | Colony (Battle-Scarred),0.03,0.03,82.0,0.03,0.03,0.03,0.0,0.0,0.03614285714285714,0.015046865562810952,0.03916666666666668,0.03452639891767201,1.1876176719863814,651.0,93.0,2339.0,77.96666666666667,1,7,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-02,AUG | Colony (Battle-Scarred),0.03,0.03,57.0,0.03,0.03,0.03,0.0,0.0,0.03614285714285714,0.015046865562810952,0.039166666666666676,0.03452639891767201,1.1876176719863814,632.0,90.28571428571429,2343.0,78.1,2,7,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-03,AUG | Colony (Battle-Scarred),0.03,0.03,58.0,0.03,0.073,0.03,0.0,-0.5890410958904109,0.03,0.0,0.039166666666666676,0.03452639891767201,1.1876176719863814,598.0,85.42857142857143,2312.0,77.06666666666666,3,7,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-04,AUG | Colony (Battle-Scarred),0.03,0.03,54.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.039166666666666676,0.034526398917672015,1.1876176719863811,557.0,79.57142857142857,2275.0,75.83333333333333,4,7,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-05,AUG | Colony (Battle-Scarred),0.03,0.03,48.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.039166666666666676,0.034526398917672015,1.1876176719863811,497.0,71.0,2254.0,75.13333333333334,5,7,0.0,0.03,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-06,AUG | Colony (Battle-Scarred),0.03,0.03,78.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.039166666666666676,0.034526398917672015,1.1876176719863811,472.0,67.42857142857143,2249.0,74.96666666666667,6,7,0.0,0.03614285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-07,AUG | Colony (Battle-Scarred),0.03,0.03,80.0,0.03,0.03,0.03,0.0,0.0,0.03,0.0,0.039166666666666676,0.034526398917672015,1.1876176719863811,457.0,65.28571428571429,2245.0,74.83333333333333,0,7,0.0,0.03614285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-08,AUG | Colony (Battle-Scarred),0.036,0.036,60.0,0.03,0.03,0.03,0.19999999999999996,0.19999999999999996,0.030857142857142857,0.0020995626366712952,0.039366666666666675,0.03449007908885621,1.186830256980179,435.0,62.142857142857146,2225.0,74.16666666666667,1,7,0.0,0.03614285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-09,AUG | Colony (Battle-Scarred),0.03,0.03,68.0,0.036,0.03,0.03,-0.16666666666666663,0.0,0.030857142857142857,0.0020995626366712952,0.03936666666666668,0.03449007908885621,1.188346469694667,446.0,63.714285714285715,2201.0,73.36666666666666,2,7,0.0,0.03614285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-10,AUG | Colony (Battle-Scarred),0.031,0.031,59.0,0.03,0.03,0.03,0.03333333333333344,0.03333333333333344,0.031,0.002070196678027062,0.03940000000000001,0.03448149262043821,1.1881389808853067,447.0,63.857142857142854,2160.0,72.0,3,7,0.0,0.03614285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-07-11,AUG | Colony (Battle-Scarred),0.03,0.03,42.0,0.031,0.03,0.03,-0.032258064516129115,0.0,0.031,0.002070196678027062,0.03940000000000001,0.03448149262043821,1.1883694680940728,435.0,62.142857142857146,2137.0,71.23333333333333,4,7,0.0,0.03614285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
