date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2017-11-01,AK-47 | Cartel (Factory New),5.378,5.378,55.0,5.476,5.972,5.844,-0.01789627465303134,-0.09946416610850639,5.5644285714285715,0.15333144039056348,5.7987,0.18169684458826832,0.029363865191752724,400.0,57.142857142857146,1638.0,54.6,2,11,0.0,5.567428571428572,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-02,AK-47 | Cartel (Factory New),5.559,5.559,50.0,5.378,5.73,5.758,0.03365563406470806,-0.0298429319371728,5.539999999999999,0.13784670574850272,5.792066666666666,0.18662724583749526,0.02996175026045515,399.0,57.0,1628.0,54.266666666666666,3,11,0.0,5.613,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-03,AK-47 | Cartel (Factory New),5.617,5.617,52.0,5.559,5.462,5.957,0.010433531210649383,0.028377883559135952,5.562142857142857,0.13597523784175722,5.780733333333332,0.18659080601382505,0.02932082181311554,383.0,54.714285714285715,1632.0,54.4,4,11,0.0,5.583142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-04,AK-47 | Cartel (Factory New),5.826,5.826,57.0,5.617,5.679,5.989,0.037208474274523784,0.025884838880084304,5.583142857142858,0.16137925921915247,5.775299999999998,0.18278149979324132,0.03011666222441804,375.0,53.57142857142857,1640.0,54.666666666666664,5,11,0.0,5.562142857142858,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-05,AK-47 | Cartel (Factory New),5.64,5.64,52.0,5.826,5.431,5.871,-0.03192584963954681,0.03848278401767624,5.613,0.1493548028784381,5.767599999999998,0.18345219177395147,0.030454930663147264,365.0,52.142857142857146,1637.0,54.56666666666667,6,11,0.0,5.54,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-06,AK-47 | Cartel (Factory New),5.476,5.476,41.0,5.64,5.795,5.78,-0.02907801418439715,-0.055047454702329635,5.567428571428572,0.13483095992798538,5.757466666666665,0.19073869268947216,0.030768218555968892,343.0,49.0,1614.0,53.8,0,11,0.0,5.564428571428572,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-07,AK-47 | Cartel (Factory New),5.945,5.945,36.0,5.476,5.476,5.813,0.08564645726807885,0.08564645726807885,5.634428571428572,0.18127867823788174,5.761866666666665,0.19347191584884413,0.034497461946390424,343.0,49.0,1583.0,52.766666666666666,1,11,0.0,5.649285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-08,AK-47 | Cartel (Factory New),5.545,5.545,47.0,5.945,5.378,5.878,-0.06728343145500426,0.031052435849758142,5.658285714285715,0.1550536444365666,5.7507666666666655,0.19602630492416634,0.036564589310776656,335.0,47.857142857142854,1587.0,52.9,2,11,0.0,5.744857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-09,AK-47 | Cartel (Factory New),5.422,5.422,52.0,5.545,5.559,5.678,-0.022182146077547427,-0.024644720273430565,5.638714285714285,0.17385684939522136,5.742233333333331,0.20440135083267486,0.036271653765527705,337.0,48.142857142857146,1584.0,52.8,3,11,0.0,5.770142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-10,AK-47 | Cartel (Factory New),5.248,5.248,55.0,5.422,5.617,5.871,-0.032091479158981806,-0.06569343065693423,5.585999999999999,0.22178432251691216,5.721466666666665,0.2212197600175496,0.03609306922478646,340.0,48.57142857142857,1579.0,52.63333333333333,4,11,0.0,5.866714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-11-11,AK-47 | Cartel (Factory New),5.678,5.678,61.0,5.248,5.826,5.849,0.08193597560975596,-0.02540336422931677,5.564857142857143,0.20425923904365717,5.715766666666665,0.22006024680123903,0.03918533678381807,344.0,49.142857142857146,1604.0,53.46666666666667,5,11,0.0,5.90457142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
