date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2016-03-01,AK-47 | Cartel (Factory New),3.611,3.611,220.0,3.556,3.593,3.545,0.015466816647919046,0.005009741163373382,3.5535714285714293,0.04480706941307093,3.4281666666666664,0.20756060694543066,0.04281776131807627,1797.0,256.7142857142857,8065.0,268.8333333333333,1,3,0.0,3.5602857142857145,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-02,AK-47 | Cartel (Factory New),3.56,3.56,243.0,3.611,3.585,3.568,-0.014123511492661334,-0.006973500697350032,3.5500000000000003,0.043124404757796816,3.4279,0.20738584811891098,0.042898452913501736,1808.0,258.2857142857143,8091.0,269.7,2,3,0.0,3.564571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-03,AK-47 | Cartel (Factory New),3.554,3.554,223.0,3.56,3.498,3.654,-0.0016853932584269815,0.016009148084619618,3.558,0.03757278650452068,3.4245666666666668,0.20450862790818605,0.042682165300102735,1795.0,256.42857142857144,8069.0,268.96666666666664,3,3,0.0,3.5731428571428574,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-04,AK-47 | Cartel (Factory New),3.583,3.583,275.0,3.554,3.525,3.612,0.008159819921215616,0.016453900709219926,3.5662857142857143,0.03573199560903486,3.4236000000000004,0.20368727664404246,0.042651341959679054,1787.0,255.28571428571428,8142.0,271.4,4,3,0.0,3.5662857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-05,AK-47 | Cartel (Factory New),3.544,3.544,327.0,3.583,3.496,3.577,-0.0108847334635781,0.013729977116704761,3.573142857142858,0.024392203505151776,3.4225000000000003,0.20294362928327336,0.04266155181050861,1764.0,252.0,8255.0,275.1666666666667,5,3,0.0,3.5579999999999994,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-06,AK-47 | Cartel (Factory New),3.544,3.544,279.0,3.544,3.604,3.615,0.0,-0.01664816870144281,3.564571428571429,0.022512581516356933,3.4201333333333332,0.20109048267439764,0.042621185180999346,1807.0,258.14285714285717,8308.0,276.93333333333334,6,3,0.0,3.55,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-07,AK-47 | Cartel (Factory New),3.526,3.526,231.0,3.544,3.556,3.263,-0.00507900677200912,-0.00843644544431954,3.5602857142857145,0.026277172525185685,3.4289,0.199777601347098,0.03860352412360397,1798.0,256.85714285714283,8242.0,274.73333333333335,0,3,0.0,3.5535714285714293,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-08,AK-47 | Cartel (Factory New),3.499,3.499,214.0,3.526,3.611,3.153,-0.00765740215541677,-0.031016338964275803,3.544285714285714,0.024568936750727043,3.440433333333333,0.19340246177911552,0.03804906653213288,1792.0,256.0,8173.0,272.43333333333334,1,3,0.0,3.5510000000000006,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-09,AK-47 | Cartel (Factory New),3.575,3.575,195.0,3.499,3.56,3.007,0.021720491569019673,0.004213483146067398,3.5464285714285713,0.026429729704348103,3.4593666666666665,0.17716517402946014,0.03698258530185557,1744.0,249.14285714285714,8089.0,269.6333333333333,2,3,0.0,3.525857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-10,AK-47 | Cartel (Factory New),3.519,3.519,179.0,3.575,3.554,3.082,-0.01566433566433567,-0.009848058525604886,3.5414285714285714,0.027799574214915863,3.4739333333333335,0.16293248772284663,0.037025409001603796,1700.0,242.85714285714286,8020.0,267.3333333333333,3,3,0.0,3.495285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-03-11,AK-47 | Cartel (Factory New),3.706,3.706,175.0,3.519,3.583,3.1,0.0531400966183575,0.03432877476974605,3.559,0.06392406209156073,3.4941333333333335,0.15255572388110808,0.03801581262677606,1600.0,228.57142857142858,7933.0,264.43333333333334,4,3,0.0,3.477,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
