date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2017-08-01,AK-47 | Cartel (Factory New),6.27,6.27,50.0,5.903,5.578,4.919,0.062171777062510536,0.1240588024381497,5.957,0.15294069812465588,5.601466666666668,0.30278702452750883,0.023503313833935665,485.0,69.28571428571429,2242.0,74.73333333333333,1,8,0.0,6.286285714285715,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-02,AK-47 | Cartel (Factory New),6.129,6.129,67.0,6.27,5.747,4.926,-0.022488038277512,0.06646946232817119,6.011571428571428,0.13542194076594935,5.641566666666667,0.29006869109842853,0.024123511129018425,482.0,68.85714285714286,2214.0,73.8,2,8,0.0,6.2217142857142855,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-03,AK-47 | Cartel (Factory New),6.311,6.311,66.0,6.129,5.858,5.088,0.029694893131016586,0.07733014680778427,6.0762857142857145,0.15359102864956864,5.682333333333333,0.2952988693209343,0.024018557398507355,474.0,67.71428571428571,2197.0,73.23333333333333,3,8,0.0,6.206,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-04,AK-47 | Cartel (Factory New),6.253,6.253,73.0,6.311,5.942,4.954,-0.009190302646173376,0.052339279703803365,6.1207142857142856,0.15330149033448925,5.725633333333334,0.2801777392220081,0.02340288386277813,464.0,66.28571428571429,2178.0,72.6,4,8,0.0,6.1207142857142856,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-05,AK-47 | Cartel (Factory New),6.529,6.529,67.0,6.253,5.932,5.156,0.044138813369582586,0.10064059339177334,6.205999999999999,0.1869598887462229,5.7714,0.2951307732740409,0.02356681692051433,458.0,65.42857142857143,2172.0,72.4,5,8,0.0,6.0762857142857145,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-06,AK-47 | Cartel (Factory New),6.157,6.157,71.0,6.529,6.047,5.358,-0.05697656608975343,0.01819083843228042,6.221714285714285,0.17730902344753469,5.798033333333335,0.29266436787252087,0.0255847901080191,463.0,66.14285714285714,2166.0,72.2,6,8,0.0,6.011571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-07,AK-47 | Cartel (Factory New),6.355,6.355,67.0,6.157,5.903,5.395,0.032158518759136,0.07657123496527207,6.286285714285715,0.12367551355487168,5.830033333333334,0.2992562428570019,0.026045860016314013,461.0,65.85714285714286,2150.0,71.66666666666667,0,8,0.0,5.957,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-08,AK-47 | Cartel (Factory New),6.47,6.47,75.0,6.355,6.27,5.566,0.01809598741148699,0.03189792663476876,6.314857142857142,0.13879113657520334,5.860166666666668,0.3161872950571473,0.02570757025956817,486.0,69.42857142857143,2133.0,71.1,1,8,0.0,5.858142857142858,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-09,AK-47 | Cartel (Factory New),6.475,6.475,60.0,6.47,6.129,5.611,0.0007727975270479526,0.056452928699624705,6.364285714285715,0.12469472927996617,5.888966666666668,0.331173920403699,0.025715237283177084,479.0,68.42857142857143,2117.0,70.56666666666666,2,8,0.0,5.819428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-10,AK-47 | Cartel (Factory New),6.037,6.037,77.0,6.475,6.311,5.643,-0.06764478764478765,-0.043416257328474095,6.325142857142857,0.17003901113015926,5.902100000000001,0.3289642685763911,0.028840145516880664,490.0,70.0,2119.0,70.63333333333334,3,8,0.0,5.773000000000001,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2017-08-11,AK-47 | Cartel (Factory New),6.14,6.14,65.0,6.037,6.253,5.563,0.017061454364750706,-0.018071325763633572,6.308999999999999,0.18112426673419546,5.921333333333334,0.3254245773686363,0.028776923450634758,482.0,68.85714285714286,2117.0,70.56666666666666,4,8,0.0,5.771428571428571,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
