date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2016-02-01,AK-47 | Cartel (Factory New),3.568,3.568,217.0,3.545,3.838,3.34,0.006488011283497963,-0.07034914017717564,3.7074285714285717,0.155718479628974,3.694766666666666,0.16882529102266905,0.037765219427802706,1621.0,231.57142857142858,7109.0,236.96666666666667,0,2,0.0,3.597142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-02,AK-47 | Cartel (Factory New),3.654,3.654,245.0,3.568,3.967,3.303,0.024103139013452957,-0.07890093269473153,3.6627142857142863,0.11415492516214759,3.7064666666666657,0.15265794734925825,0.037859508271222544,1680.0,240.0,7046.0,234.86666666666667,1,2,0.0,3.5959999999999996,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-03,AK-47 | Cartel (Factory New),3.612,3.612,202.0,3.654,3.89,3.117,-0.011494252873563204,-0.07146529562982007,3.6229999999999998,0.06664618733066645,3.722966666666666,0.1083849569307886,0.036299921640000815,1657.0,236.71428571428572,6921.0,230.7,2,2,0.0,3.6229999999999998,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-04,AK-47 | Cartel (Factory New),3.577,3.577,214.0,3.612,3.766,3.59,-0.009689922480620172,-0.05018587360594795,3.5959999999999996,0.03307135143465241,3.7225333333333324,0.10894026905704902,0.02416672414441886,1662.0,237.42857142857142,6859.0,228.63333333333333,3,2,0.0,3.6627142857142863,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-05,AK-47 | Cartel (Factory New),3.615,3.615,226.0,3.577,3.607,3.654,0.010623427453173129,0.0022179096201830895,3.597142857142857,0.033566261000460285,3.7212333333333323,0.10997808367528913,0.024025473458570434,1630.0,232.85714285714286,6847.0,228.23333333333332,4,2,0.0,3.7074285714285713,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-06,AK-47 | Cartel (Factory New),3.263,3.263,297.0,3.615,3.609,3.627,-0.09737206085753813,-0.0958714325297867,3.547714285714285,0.1208868588931867,3.7091,0.1365694817055895,0.029699134150599004,1672.0,238.85714285714286,6923.0,230.76666666666668,5,2,0.0,3.7459999999999996,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-07,AK-47 | Cartel (Factory New),3.153,3.153,283.0,3.263,3.545,3.735,-0.033711308611707014,-0.1105782792665726,3.4917142857142855,0.18366717903060753,3.6897,0.1689992406294577,0.029544893326861443,1684.0,240.57142857142858,6946.0,231.53333333333333,6,2,0.0,3.7947142857142855,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-08,AK-47 | Cartel (Factory New),3.007,3.007,279.0,3.153,3.568,3.703,-0.04630510624801776,-0.15723094170403584,3.4115714285714285,0.24503752315737695,3.6665,0.2086925569667815,0.03045161027070879,1746.0,249.42857142857142,6964.0,232.13333333333333,0,2,0.0,3.8207142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-09,AK-47 | Cartel (Factory New),3.082,3.082,248.0,3.007,3.654,3.758,0.024941802460924478,-0.15654077723043247,3.329857142857143,0.24594100835736352,3.6439666666666666,0.23270961637963217,0.03073928226821706,1749.0,249.85714285714286,6969.0,232.3,1,2,0.0,3.8270000000000004,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-10,AK-47 | Cartel (Factory New),3.1,3.1,262.0,3.082,3.612,3.822,0.005840363400389403,-0.14174972314507195,3.256714285714286,0.22652323393021762,3.6198999999999995,0.24976260061639868,0.030523409303830035,1809.0,258.42857142857144,7032.0,234.4,2,2,0.0,3.833285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-11,AK-47 | Cartel (Factory New),3.108,3.108,246.0,3.1,3.577,3.725,0.002580645161290418,-0.1311154598825831,3.189714285714286,0.18795874493068523,3.599333333333333,0.2651884026289402,0.030358497224833317,1841.0,263.0,7058.0,235.26666666666668,3,2,0.0,3.803571428571428,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-12,AK-47 | Cartel (Factory New),3.146,3.146,278.0,3.108,3.615,3.873,0.012226512226512165,-0.1297372060857539,3.1227142857142853,0.07262371569695843,3.5750999999999995,0.2721976426544996,0.02937668187603718,1893.0,270.42857142857144,7129.0,237.63333333333333,4,2,0.0,3.757857142857142,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-13,AK-47 | Cartel (Factory New),3.437,3.437,292.0,3.146,3.263,3.841,0.0924984106802289,0.05332516089488193,3.1475714285714287,0.12631576888650023,3.561633333333333,0.268680415280972,0.0343227594311757,1888.0,269.7142857142857,7197.0,239.9,5,2,0.0,3.7277142857142853,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-14,AK-47 | Cartel (Factory New),3.571,3.571,234.0,3.437,3.153,3.808,0.03898748908932226,0.13257215350459894,3.2072857142857147,0.19493274612082004,3.553733333333333,0.2647762493544733,0.035122541257889134,1839.0,262.7142857142857,7214.0,240.46666666666667,6,2,0.0,3.706142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-15,AK-47 | Cartel (Factory New),3.575,3.575,272.0,3.571,3.007,3.668,0.0011201344161300142,0.18889258397073494,3.2884285714285713,0.21213261158520444,3.550633333333333,0.2639634423341401,0.03450829140412529,1832.0,261.7142857142857,7236.0,241.2,0,2,0.0,3.6885714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-16,AK-47 | Cartel (Factory New),3.747,3.747,243.0,3.575,3.082,3.735,0.048111888111888046,0.21576898118105126,3.383428571428571,0.24480362809102854,3.5510333333333337,0.2642514564240323,0.03544544157878267,1827.0,261.0,7194.0,239.8,1,2,0.0,3.7109999999999994,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-17,AK-47 | Cartel (Factory New),3.603,3.603,217.0,3.747,3.1,3.627,-0.038430744595676414,0.16225806451612912,3.4552857142857145,0.22400173104287407,3.5502333333333334,0.2640565196232723,0.035750628040703204,1782.0,254.57142857142858,7189.0,239.63333333333333,2,2,0.0,3.7154285714285713,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-18,AK-47 | Cartel (Factory New),3.129,3.129,460.0,3.603,3.108,3.647,-0.1315570358034971,0.006756756756756799,3.4582857142857146,0.21942438612079973,3.532966666666667,0.27391634773331,0.04285996091832376,1996.0,285.14285714285717,7447.0,248.23333333333332,3,2,0.0,3.742714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-19,AK-47 | Cartel (Factory New),3.292,3.292,347.0,3.129,3.146,3.682,0.05209332054969629,0.04640813731722826,3.479142857142857,0.19424316761025426,3.519966666666667,0.27578306490589466,0.04397849042713065,2065.0,295.0,7592.0,253.06666666666666,4,2,0.0,3.7538571428571434,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-20,AK-47 | Cartel (Factory New),3.368,3.368,375.0,3.292,3.437,3.81,0.023086269744835963,-0.020075647366889715,3.4692857142857143,0.19784894258406507,3.5052333333333334,0.27167084045873524,0.043695673652076966,2148.0,306.85714285714283,7762.0,258.73333333333335,5,2,0.0,3.781714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-21,AK-47 | Cartel (Factory New),3.39,3.39,306.0,3.368,3.571,3.651,0.0065320665083135054,-0.05068608232987959,3.4434285714285715,0.19466811107468981,3.496533333333333,0.27104190737883244,0.04312926432809049,2220.0,317.14285714285717,7856.0,261.8666666666667,6,2,0.0,3.785,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-22,AK-47 | Cartel (Factory New),3.38,3.38,281.0,3.39,3.575,3.791,-0.002949852507374673,-0.054545454545454675,3.4155714285714285,0.18767362029625276,3.482833333333333,0.26615472734649837,0.04248945985970377,2229.0,318.42857142857144,7854.0,261.8,0,2,0.0,3.7899999999999996,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-23,AK-47 | Cartel (Factory New),3.593,3.593,244.0,3.38,3.747,3.886,0.06301775147929001,-0.0410995463037096,3.3935714285714282,0.1534357540218215,3.4730666666666665,0.2563774474394258,0.043846368617315404,2230.0,318.57142857142856,7873.0,262.43333333333334,1,2,0.0,3.7795714285714284,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-24,AK-47 | Cartel (Factory New),3.585,3.585,232.0,3.593,3.603,3.838,-0.0022265516281658737,-0.004995836802664466,3.3910000000000005,0.15001714187766296,3.464633333333333,0.24826739393019154,0.04380142795843653,2245.0,320.7142857142857,7904.0,263.46666666666664,2,2,0.0,3.7489999999999997,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-25,AK-47 | Cartel (Factory New),3.498,3.498,236.0,3.585,3.129,3.967,-0.024267782426778184,0.11792905081495686,3.443714285714286,0.1074971285805404,3.449,0.23025420734483878,0.04349548175081953,2021.0,288.7142857142857,7954.0,265.1333333333333,3,2,0.0,3.7177142857142855,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-26,AK-47 | Cartel (Factory New),3.525,3.525,283.0,3.498,3.292,3.89,0.007718696397941649,0.07077764277035237,3.477,0.09001904560385303,3.436833333333333,0.21582123518216545,0.04343133236281233,1957.0,279.57142857142856,8012.0,267.06666666666666,4,2,0.0,3.6984285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-27,AK-47 | Cartel (Factory New),3.496,3.496,350.0,3.525,3.368,3.766,-0.008226950354609852,0.038004750593824355,3.495285714285714,0.07825181747905609,3.427833333333333,0.20737117821808207,0.04310089613054496,1932.0,276.0,8153.0,271.76666666666665,5,2,0.0,3.597714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2016-02-28,AK-47 | Cartel (Factory New),3.604,3.604,236.0,3.496,3.39,3.607,0.03089244851258588,0.06312684365781718,3.5258571428571424,0.07275679363748905,3.4277333333333333,0.2072854607111223,0.04279673658905974,1862.0,266.0,8131.0,271.03333333333336,6,2,0.0,3.5327142857142855,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
