date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2013-11-28,AUG | Colony (Battle-Scarred),0.12,0.12,6.0,,,,,,,,,,,,,,,3,11,0.0,0.04171428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2013-11-29,AUG | Colony (Battle-Scarred),0.067,0.067,24.0,0.12,,,-0.44166666666666665,,,,,,,,,,,4,11,0.0,0.045142857142857144,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2013-11-30,AUG | Colony (Battle-Scarred),0.055,0.055,28.0,0.067,,,-0.17910447761194037,,0.08066666666666666,0.028241026106633507,,,,58.0,19.333333333333332,,,5,11,0.0,0.05771428571428571,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2013-11-30,AUG | Condemned (Factory New),5.885,5.885,1.0,,,,,,,,,,,,,,,5,11,0.0,10.488428571428573,AUG | Condemned (Factory New),AUG | Condemned (Factory New),0,0
2013-11-28,AUG | Contractor (Factory New),2.909,2.909,5.0,,,,,,,,,,,,,,,3,11,0.0,2.896714285714286,AUG | Contractor (Factory New),AUG | Contractor (Factory New),0,0
2013-11-29,AUG | Contractor (Factory New),6.946,6.946,1.0,2.909,,,1.387762117566174,,,,,,,,,,,4,11,0.0,3.637571428571429,AUG | Contractor (Factory New),AUG | Contractor (Factory New),0,0
2013-11-30,AUG | Contractor (Factory New),3.937,3.937,3.0,6.946,,,-0.4331989634321912,,4.597333333333333,1.712964746345418,,,,9.0,3.0,,,5,11,0.0,3.7257142857142855,AUG | Contractor (Factory New),AUG | Contractor (Factory New),0,0
2013-11-01,AWP | Snake Camo (Battle-Scarred),3.513,3.513,16.0,3.303,3.826,4.711,0.06357856494096281,-0.08180867746994258,3.6904285714285714,0.31714388674221544,3.9942666666666664,0.3432921917097575,0.07245993877771423,138.0,19.714285714285715,540.0,18.0,4,11,0.0,3.452428571428571,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-11-02,AWP | Snake Camo (Battle-Scarred),3.636,3.636,17.0,3.513,3.512,4.501,0.035012809564474834,0.03530751708428248,3.7081428571428567,0.3100670105322527,3.9654333333333325,0.33576387371021454,0.07249630557135343,131.0,18.714285714285715,545.0,18.166666666666668,5,11,0.0,3.474,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-11-03,AWP | Snake Camo (Battle-Scarred),3.883,3.883,14.0,3.636,3.887,4.533,0.06793179317931797,-0.0010290712631849663,3.707571428571428,0.30974037844752544,3.943766666666666,0.3189932792743794,0.07363275640524614,128.0,18.285714285714285,547.0,18.233333333333334,6,11,0.0,3.5662857142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-11-04,AWP | Snake Camo (Battle-Scarred),3.335,3.335,19.0,3.883,4.324,4.316,-0.14112799381921193,-0.22872340425531912,3.5662857142857147,0.20377418474219675,3.911066666666666,0.329275055572423,0.0773600698694111,124.0,17.714285714285715,550.0,18.333333333333332,0,11,0.0,3.707571428571429,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-11-05,AWP | Snake Camo (Battle-Scarred),3.154,3.154,28.0,3.335,3.8,4.22,-0.05427286356821592,-0.16999999999999993,3.474,0.2224564162771152,3.875533333333332,0.350832033251748,0.07780311915569942,136.0,19.428571428571427,557.0,18.566666666666666,1,11,0.0,3.708142857142857,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
