date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2018-03-01,AK-47 | Cartel (Factory New),7.157,7.157,59.0,6.721,6.811,7.347,0.06487129891385202,0.05080017618558208,6.834714285714284,0.140723349961866,7.005466666666667,0.1733550755594489,0.025596496470534445,415.0,59.285714285714285,1745.0,58.166666666666664,3,3,0.0,6.946857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-02,AK-47 | Cartel (Factory New),6.869,6.869,53.0,7.157,6.838,7.133,-0.04024032415816692,0.004533489324363815,6.839142857142856,0.14124389096415424,6.996666666666667,0.17335845971730243,0.026083208277704415,410.0,58.57142857142857,1737.0,57.9,4,3,0.0,6.909714285714287,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-03,AK-47 | Cartel (Factory New),6.918,6.918,61.0,6.869,6.737,7.137,0.007133498325811782,0.026866557815051317,6.865,0.13667166076821807,6.989366666666667,0.1719002585480572,0.026122280782495757,406.0,58.0,1735.0,57.833333333333336,5,3,0.0,6.882142857142857,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-04,AK-47 | Cartel (Factory New),6.949,6.949,54.0,6.918,6.868,7.146,0.004481063891297987,0.011793826441467647,6.876571428571428,0.13982832039209184,6.982800000000001,0.16953788170592837,0.026136723114448666,395.0,56.42857142857143,1723.0,57.43333333333333,6,3,0.0,6.876571428571429,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-05,AK-47 | Cartel (Factory New),6.788,6.788,56.0,6.949,6.749,7.316,-0.02316880126636922,0.005778633871684757,6.882142857142857,0.1353391808662629,6.965200000000001,0.161237381935249,0.026035668216652035,400.0,57.142857142857146,1722.0,57.4,0,3,0.0,6.865000000000001,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-06,AK-47 | Cartel (Factory New),6.966,6.966,49.0,6.788,6.773,7.199,0.026222746022392496,0.02849549682563124,6.909714285714286,0.12984354792894218,6.957433333333335,0.155290412525121,0.02638826756434951,396.0,56.57142857142857,1709.0,56.96666666666667,1,3,0.0,6.839142857142858,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-07,AK-47 | Cartel (Factory New),6.981,6.981,52.0,6.966,6.721,7.234,0.0021533161068043594,0.03868471953578334,6.946857142857143,0.10544250778969355,6.949000000000001,0.14667265139304836,0.02637354523764325,384.0,54.857142857142854,1710.0,57.0,2,3,0.0,6.834714285714286,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-08,AK-47 | Cartel (Factory New),7.032,7.032,63.0,6.981,7.157,6.81,0.007305543618392862,-0.017465418471426575,6.929,0.074338991883706,6.956400000000001,0.14506449140525982,0.024118284020114615,388.0,55.42857142857143,1720.0,57.333333333333336,3,3,0.0,6.785285714285714,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-09,AK-47 | Cartel (Factory New),7.176,7.176,57.0,7.032,6.869,7.205,0.020477815699658786,0.044693550735187104,6.972857142857143,0.10864677836447606,6.955433333333334,0.14349278340351795,0.022030818940917525,392.0,56.0,1734.0,57.8,4,3,0.0,6.8182857142857145,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-10,AK-47 | Cartel (Factory New),7.331,7.331,58.0,7.176,6.918,7.014,0.02159977703455973,0.059699335067938675,7.031857142857143,0.16191658220156685,6.966,0.15832203468458428,0.021784610829187975,389.0,55.57142857142857,1736.0,57.86666666666667,5,3,0.0,6.856857142857143,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
2018-03-11,AK-47 | Cartel (Factory New),7.077,7.077,51.0,7.331,6.949,7.09,-0.034647387805210816,0.018419916534753167,7.050142857142857,0.15872296491634963,6.965566666666667,0.15799951125100226,0.022661829784869796,386.0,55.142857142857146,1726.0,57.53333333333333,6,3,0.0,6.880857142857144,AK-47 | Cartel (Factory New),AK-47 | Cartel (Factory New),0,0
