date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2014-08-01,AUG | Colony (Battle-Scarred),0.03,0.03,92.0,0.031,0.03,0.03,-0.032258064516129115,0.0,0.04942857142857144,0.0471830997069839,0.03476666666666669,0.024208377796861056,0.8272623828293418,481.0,68.71428571428571,1850.0,61.666666666666664,4,8,0.0,0.030714285714285715,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-02,AUG | Colony (Battle-Scarred),0.03,0.03,73.0,0.03,0.03,0.03,0.0,0.0,0.04942857142857144,0.0471830997069839,0.03476666666666669,0.024208377796861053,0.8272623828293418,490.0,70.0,1865.0,62.166666666666664,5,8,0.0,0.030857142857142857,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-03,AUG | Colony (Battle-Scarred),0.03,0.03,68.0,0.03,0.165,0.03,0.0,-0.8181818181818182,0.03014285714285714,0.00034992710611188283,0.03476666666666669,0.024208377796861053,0.8272623828293418,480.0,68.57142857142857,1879.0,62.63333333333333,6,8,0.0,0.030714285714285715,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-04,AUG | Colony (Battle-Scarred),0.034,0.034,77.0,0.03,0.03,0.03,0.13333333333333353,0.13333333333333353,0.030714285714285715,0.0013850513878332382,0.03490000000000002,0.024192767514279973,0.826942843684011,513.0,73.28571428571429,1908.0,63.6,0,8,0.0,0.030714285714285715,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-05,AUG | Colony (Battle-Scarred),0.03,0.03,60.0,0.034,0.03,0.03,-0.11764705882352955,0.0,0.030714285714285715,0.001385051387833238,0.03490000000000002,0.024192767514279973,0.8278207240075734,519.0,74.14285714285714,1890.0,63.0,1,8,0.0,0.03014285714285714,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-06,AUG | Colony (Battle-Scarred),0.031,0.031,80.0,0.03,0.03,0.03,0.03333333333333344,0.03333333333333344,0.030857142857142857,0.001355261854357878,0.03493333333333335,0.024186681367139976,0.8276753203471066,519.0,74.14285714285714,1890.0,63.0,2,8,0.0,0.049428571428571426,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-07,AUG | Colony (Battle-Scarred),0.03,0.03,66.0,0.031,0.031,0.036,-0.032258064516129115,-0.032258064516129115,0.030714285714285715,0.0013850513878332382,0.03473333333333335,0.02420183647760823,0.8280288395086649,516.0,73.71428571428571,1896.0,63.2,3,8,0.0,0.049428571428571426,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-08,AUG | Colony (Battle-Scarred),0.031,0.031,65.0,0.03,0.03,0.03,0.03333333333333344,0.03333333333333344,0.030857142857142857,0.001355261854357878,0.03476666666666668,0.02419598221927672,0.8265154147341278,489.0,69.85714285714286,1893.0,63.1,4,8,0.0,0.04942857142857144,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-09,AUG | Colony (Battle-Scarred),0.03,0.03,88.0,0.031,0.03,0.031,-0.032258064516129115,0.0,0.030857142857142857,0.0013552618543578782,0.03473333333333335,0.02420183647760823,0.8268402939521936,504.0,72.0,1922.0,64.06666666666666,5,8,0.0,0.0492857142857143,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-10,AUG | Colony (Battle-Scarred),0.032,0.032,57.0,0.03,0.03,0.03,0.06666666666666665,0.06666666666666665,0.031142857142857142,0.0013552618543578782,0.03480000000000002,0.02419145854773263,0.8264145509566742,493.0,70.42857142857143,1937.0,64.56666666666666,6,8,0.0,0.0492857142857143,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
2014-08-11,AUG | Colony (Battle-Scarred),0.03,0.03,55.0,0.032,0.034,0.03,-0.0625,-0.11764705882352955,0.030571428571428572,0.0007284313590846843,0.03480000000000002,0.02419145854773263,0.8268071889273889,471.0,67.28571428571429,1938.0,64.6,0,8,0.0,0.0492857142857143,AUG | Colony (Battle-Scarred),AUG | Colony (Battle-Scarred),0,0
