date,item_name,median_price,steam_price_ffill7,volume,p_lag1,p_lag7,p_lag30,ret_1,ret_7,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_vol_30,vol_sum_7,vol_mean_7,vol_sum_30,vol_mean_30,dow,month_num,gap_days,y_avg_7d_fwd,base_item,base_family,is_stattrak,is_souvenir
2013-09-01,AWP | Snake Camo (Battle-Scarred),6.398,6.398,17.0,5.75,7.054,,0.11269565217391309,-0.09299688120215488,6.456142857142857,0.5398956059333345,7.7381666666666655,1.5516162630553272,0.13247624088805257,94.0,13.428571428571429,186.0,10.333333333333334,6,9,0.0,5.522714285714285,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-02,AWP | Snake Camo (Battle-Scarred),6.187,6.187,17.0,6.398,5.826,,-0.03297905595498585,0.06196361139718509,6.507714285714286,0.49239232739923217,7.656526315789473,1.549443274158107,0.12876839884267613,99.0,14.142857142857142,203.0,10.68421052631579,0,9,0.0,5.564857142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-03,AWP | Snake Camo (Battle-Scarred),6.103,6.103,14.0,6.187,7.103,,-0.013576854695328988,-0.14078558355624382,6.364857142857142,0.4413814121827155,7.57885,1.5476996890546952,0.12535012981636517,101.0,14.428571428571429,217.0,10.85,1,9,0.0,5.594285714285715,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-04,AWP | Snake Camo (Battle-Scarred),6.488,6.488,8.0,6.103,6.175,,0.06308372931345252,0.05068825910931185,6.409571428571428,0.4357007023643826,7.5269047619047615,1.528160671705941,0.1235793474132513,104.0,14.857142857142858,225.0,10.714285714285714,2,9,0.0,5.667285714285716,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-05,AWP | Snake Camo (Battle-Scarred),6.22,6.22,11.0,6.488,7.21,,-0.0413070283600494,-0.13730929264909852,6.268142857142856,0.2888605341047221,7.4675,1.5176408052093102,0.12070442128967247,104.0,14.857142857142858,236.0,10.727272727272727,3,9,0.0,5.863714285714285,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-06,AWP | Snake Camo (Battle-Scarred),6.614,6.614,11.0,6.22,6.731,,0.06334405144694544,-0.01738226117961672,6.251428571428571,0.2639014194423241,7.430391304347826,1.4944524877644172,0.11916933925675072,108.0,15.428571428571429,247.0,10.73913043478261,4,9,0.0,5.980142857142858,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-07,AWP | Snake Camo (Battle-Scarred),6.419,6.419,12.0,6.614,5.75,,-0.02948291502872702,0.11634782608695637,6.3469999999999995,0.16912379236185887,7.38825,1.4768804468089713,0.11658612911583001,90.0,12.857142857142858,259.0,10.791666666666666,5,9,0.0,6.091714285714285,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-08,AWP | Snake Camo (Battle-Scarred),6.27,6.27,18.0,6.419,6.398,,-0.02321233837046266,-0.02000625195373551,6.328714285714286,0.16954031487332727,7.343520000000001,1.463539329707268,0.11414088116898456,91.0,13.0,277.0,11.08,6,9,0.0,6.192857142857142,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-09,AWP | Snake Camo (Battle-Scarred),6.226,6.226,12.0,6.27,6.187,,-0.007017543859649034,0.006303539679973991,6.3342857142857145,0.16538156252886785,7.300538461538462,1.451120289526184,0.11184911743700376,86.0,12.285714285714286,289.0,11.115384615384615,0,9,0.0,6.183,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
2013-09-10,AWP | Snake Camo (Battle-Scarred),5.841,5.841,12.0,6.226,6.103,,-0.06183745583038869,-0.042929706701622106,6.296857142857142,0.2303689144279103,7.246481481481482,1.4504259494514875,0.11003391519201024,84.0,12.0,301.0,11.148148148148149,1,9,0.0,6.296857142857143,AWP | Snake Camo (Battle-Scarred),AWP | Snake Camo (Battle-Scarred),0,0
