date,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2022-12-01,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-02,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-03,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-04,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-05,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-06,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-07,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-08,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-09,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-10,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-11,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-12,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-13,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-14,1,5.0,1,4.0,1,2.0,45,45,1.0,1.0,1.0,1.0,1.0
2022-12-15,1,5.0,1,4.0,1,2.0,45,45,1.0,1.0,1.0,1.0,1.0
2022-12-16,1,5.0,1,4.0,1,2.0,45,45,1.0,1.0,1.0,1.0,1.0
2022-12-17,1,5.0,1,4.0,1,2.0,45,45,1.0,1.0,1.0,1.0,1.0
2022-12-18,1,5.0,1,4.0,1,2.0,45,45,1.0,1.0,1.0,1.0,1.0
2022-12-19,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-20,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-21,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-22,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-23,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-24,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-25,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-26,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-27,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-28,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-29,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-30,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2022-12-31,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
