date,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30
2015-05-01,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-02,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-03,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-04,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-05,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-06,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-07,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-08,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-09,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-10,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-11,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-12,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-13,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-14,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-15,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-16,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-17,1,1,1,1,1,1,1,1,1,1,1,1
2015-05-18,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-19,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-20,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-21,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-22,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-23,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-24,0,1,1,1,0,1,1,1,0,1,1,1
2015-05-25,0,0,0,1,0,0,0,1,0,0,0,1
2015-05-26,0,0,0,1,0,0,0,1,0,0,0,1
2015-05-27,0,0,0,1,0,0,0,1,0,0,0,1
2015-05-28,0,0,0,1,0,0,0,1,0,0,0,1
2015-05-29,0,0,0,1,0,0,0,1,0,0,0,1
2015-05-30,0,0,0,1,0,0,0,1,0,0,0,1
2015-05-31,0,0,0,1,0,0,0,1,0,0,0,1
