date,lp_valve_tier1,lp_valve_tier1_cnt,lp_s_tier,lp_s_tier_cnt,lp_a_tier,lp_a_tier_cnt,lp_event_score,lp_event_intensity,lp_valve_tier1_cnt_norm,lp_s_tier_cnt_norm,lp_a_tier_cnt_norm,lp_event_score_norm,lp_event_intensity_norm
2020-06-01,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-02,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-03,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-04,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-05,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-06,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-07,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-08,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-09,1,5.0,1,4.0,1,2.0,45,45,0.5,0.5,0.5,0.5,0.5
2020-06-10,1,5.0,1,4.0,1,2.0,45,45,0.5,0.5,0.5,0.5,0.5
2020-06-11,1,5.0,1,4.0,1,2.0,45,45,0.5,0.5,0.5,0.5,0.5
2020-06-12,1,5.0,1,4.0,1,2.0,45,45,0.5,0.5,0.5,0.5,0.5
2020-06-13,1,5.0,1,4.0,1,2.0,45,45,0.5,0.5,0.5,0.5,0.5
2020-06-14,1,5.0,1,4.0,1,2.0,45,45,0.5,0.5,0.5,0.5,0.5
2020-06-15,1,5.0,1,4.0,1,2.0,45,45,0.5,0.5,0.5,0.5,0.5
2020-06-16,1,10.0,1,8.0,1,4.0,90,90,1.0,1.0,1.0,1.0,1.0
2020-06-17,1,10.0,1,8.0,1,4.0,90,90,1.0,1.0,1.0,1.0,1.0
2020-06-18,1,10.0,1,8.0,1,4.0,90,90,1.0,1.0,1.0,1.0,1.0
2020-06-19,1,10.0,1,8.0,1,4.0,90,90,1.0,1.0,1.0,1.0,1.0
2020-06-20,1,10.0,1,8.0,1,4.0,90,90,1.0,1.0,1.0,1.0,1.0
2020-06-21,1,10.0,1,8.0,1,4.0,90,90,1.0,1.0,1.0,1.0,1.0
2020-06-22,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-23,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-24,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-25,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-26,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-27,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-28,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-29,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2020-06-30,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
