date,idx_lp_valve_tier1_t0,idx_lp_valve_tier1_t7,idx_lp_valve_tier1_pm7,idx_lp_valve_tier1_pm30,idx_lp_s_tier_t0,idx_lp_s_tier_t7,idx_lp_s_tier_pm7,idx_lp_s_tier_pm30,idx_lp_a_tier_t0,idx_lp_a_tier_t7,idx_lp_a_tier_pm7,idx_lp_a_tier_pm30
2025-02-01,0,0,0,1,0,0,0,1,0,0,0,1
2025-02-02,0,0,0,1,0,0,0,1,0,0,0,1
2025-02-03,0,0,0,1,0,0,0,1,0,0,0,1
2025-02-04,0,0,0,1,0,0,0,1,0,0,0,1
2025-02-05,0,0,0,1,0,0,0,1,0,0,0,1
2025-02-06,0,0,0,1,0,0,0,1,0,0,0,1
2025-02-07,0,0,1,1,0,0,1,1,0,0,1,1
2025-02-08,0,0,1,1,0,0,1,1,0,0,1,1
2025-02-09,0,0,1,1,0,0,1,1,0,0,1,1
2025-02-10,0,0,1,1,0,0,1,1,0,0,1,1
2025-02-11,0,0,1,1,0,0,1,1,0,0,1,1
2025-02-12,0,0,1,1,0,0,1,1,0,0,1,1
2025-02-13,0,0,1,1,0,0,1,1,0,0,1,1
2025-02-14,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-15,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-16,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-17,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-18,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-19,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-20,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-21,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-22,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-23,1,1,1,1,1,1,1,1,1,1,1,1
2025-02-24,0,1,1,1,0,1,1,1,0,1,1,1
2025-02-25,0,1,1,1,0,1,1,1,0,1,1,1
2025-02-26,0,1,1,1,0,1,1,1,0,1,1,1
2025-02-27,0,1,1,1,0,1,1,1,0,1,1,1
2025-02-28,0,1,1,1,0,1,1,1,0,1,1,1
